caption,musical
There is a cat that is sitting on the sink.,gentle music with flutes and violin and slow-paced.
A room with a big brick wall by a kitchen.,gentle music with flutes that is slow-paced.
Cars driving down the road while bicycles are parked on the side of the road.,surfer-themed music with guitar and fast pacing.
A person in an apron standing over a small metal bowl on the counter in a kitchen.,epic music with a military theme.
A cat is pictured and viewed through the bars of a bicycle.,country music and slow-paced.
A bathroom with a tub and shower and toilet.,happy and joyful music with a busy street background sound effect.
There are men that are on the surfboard in the water.,rhythmic industrial music.
A white tub sitting next to a window and a white sink.,pulsating electronic beats.
Smoothing over the top layer of a pie.,calm acoustic melodies with hints of nature sounds.
This is an image of a bathroom with a tub and a sink.,playful and cheerful beach-themed music.
A small bathroom stall has a maroon toilet rug.,fast-paced and energetic instrumental music.
Flooding scene in South Asia with people standing in flood water.,romantic and dreamy orchestral melodies.
A person holding open a box of various kinds of doughnuts.,soft and gentle music with flutes.
A toilet has a shower curtain right next to it.,gentle music with flutes that is slow-paced.
This bathroom has all white tile walls and a white toilet.,surfer-themed music with guitar and fast pacing.
A bathroom with a toilet and a rug and a garbage can and tissue.,epic music that fits last-minute assignments.
This bathroom has a very large jacuzzi tub in it.,pulsating electronic beats.
There are many signs and lights on this street.,calm acoustic melodies with hints of nature sounds.
A man riding a bike down a street next to a red stop sign.,playful and cheerful beach-themed music.
A man stands over a display of various donuts.,soft and gentle music with flutes and violin and slow-paced.
A man stands as a woman sits in the very old photo.,rhythmic industrial music.
There is an image of a shower in the bathroom.,happy and joyful music with a busy street background sound effect.
A young woman is riding her bicycle in the street.,Disney-themed music that is joyful.
A small restroom with the toilet disconnected.,heavy metal with guitar and screamo.
A row of bicycles are line up at renting stations.,guitar music with a country theme.
A man standing in a kitchen next to a metal sink.,music that matches graduation or success.
There is an image of a bathroom with a toilet in it.,country-themed music with clapping and stomping.
A metal refrigerator freezer inside of a kitchen.,gentle music with flutes that is slow-paced.
A man standing on top of a skateboard riding down a street.,surfer-themed music with guitar and fast pacing.
A person wearing an apron in front of kitchen appliance.,pulsating electronic beats.
A person in a wetsuit and on a surfboard in white foaming waves.,epic music that fits last-minute assignments.
There is a bathroom with a sink and photos on the wall.,rhythmic industrial music.
A man is surfing on the waves on his surfboard.,heavy metal with guitar and screamo.
This kitchen has white cabinets and stainless steel appliances and wood floors.,soft and gentle music with flutes and violin.
A person is sitting in a chair watching something on their laptop.,"Immersed in relaxing acoustic melodies, like a soothing lullaby."
There are two pictures of a kitchen with white cabinets.,Grooving to jazz tunes with smooth saxophones and a touch of piano.
A man is attempting to bring his bicycle on the train.,"Casual beats."
There is a laptop on a counter and next to cut up food.,Dancing to the electronic beats of a futuristic techno track.
There is food in the frying pan with sauce in it.,Dancing to the Latin beats of a lively fiesta.
"A man is walking down the sidewalk, next to a building.","classic rock anthem."
The cat is laying in the shaggy grass.,Meandering through the whimsical sounds of a fairytale-like orchestra.
An antique car is parked with an old bike next to it.,Traveling back in time with the jazzy tunes of the Roaring Twenties.
A kitchen with wooden cabinetry and a stainless steel stove.,"Feeling the cozy vibes of acoustic folk music, like a warm hearth."
"A person on a bicycle, wearing a hat in a parking lot.","Cruising with the carefree spirit of beach rock and ocean breezes."
"A white kitchen with double sinks, a microwave, and shelves."," Accompanied by light and cheerful pop music."
A restroom with a bunch of pictures on the wall.,Swinging to the rhythms of smooth jazz in a cozy lounge.
"Typing on a laptop with one hand and using the mouse with the other.","Enhanced by techno-pop making it feel like a futuristic journey."
Some people ride bikes by a big train.,"Pulsating electronic beats matching the rhythm of the railway."
A lot of motorcycles parked outside market stalls. ,"Revving up with energetic rock n roll and roaring motorcycle engines."
"The man is sitting down on stage, talking to his audience.","Engaging in a smooth blend of jazz."
"This shack has a small table to the left, a stove in the back, and a countertop on the right."," Conducted by folk music, evoking images of a cozy country cabin."
The meal is being prepared on the counter.,Cooking up a storm with Latin rhythms .
There is a car that is parked on the street.,"Driving down the city streets with energetic urban hip-hop beats."
A wooden cutting board with cut vegetables on it in front of an open laptop.,Enhanced by the cheerful sounds of light pop-folk music.
"A gray and white multicolored cat on the top of a vehicle, rubbing against an antenna.",Embracing the feline's curiosity with jazzy and playful tunes.
Two children standing in front of a canoe in a body of water.,Paddling along to the calm melodies of traditional folk music.
An open-air banana market with several people browsing.,"Grooving to the beats of tropical island music, feeling the island breeze."
A walk-in glass shower in a bathroom.,Showering in the gentle ambiance of ambient instrumental music.
The woman has overpacked her car.,Packing up to the catchy rhythms of a road trip playlist with cheerful pop tunes.
There are people that are getting food off of the table.,Celebrating with a hearty dinner accompanied by the sounds of a live jazz band.
The man is using his laptop on his desk.,"Working with a futuristic electronic beat, resembling a digital soundscape."
"A young boy in front of a bathroom vanity, looking into a mirror with his hands up and in motion.", circus-inspired music.
A bathroom showing the sink and a corner shower.,Immersed in the ambient sounds of falling rain and trickling water.
A man is holding a box of doughnuts.,"Accompanied by cheerful, jazzy tunes that evoke a cafe atmosphere."
A bathroom view of a toilet and a sink.,Whispered secrets of jazz melodies in the background.
There is a woman walking with an umbrella.,"Dancing through a gentle, classical rain shower."
A bathroom sink with a phone on the wall.,"Ringed by electronic beats, like an underwater disco."
A bathroom with a tub and a standing shower.,Balancing on the fusion of tropical and contemporary beats.
A huge clock is seen in the middle of a train station," train engine chorus with metronome acoustics."
A group of people standing and sitting around a room together," barely noticeable droning chatter."
A vase surrounded by flowers in a nook next to the stairway," acoustic guitar with faint brass sounds."
A young child in a hooded sweater eats cereal outdoors," wordless pop chorus."
"A plate of bananas, oranges, and a bowl of soup"," Sunday morning cartoon jingle."
A tall building with windows and a clock at the top," droning elevator music."
A clock face in a decorative display shows the time," holiday music."
A bunch of teddy bears all around each other," unrecognizable nursery rhymes."
A picture of a well in the middle of a park," birds singing, wind blowing."
An urban skyline with some statues in a city," nineties trance pop music."
A wooden table topped with a plate and bowl filled with food," instrumental commercial jingle."
Two people sitting at a table with dessert in front of them," Spanish guitar with percussion."
A glass of red wine is on a table beside a plate of asparagus," classical European music."
A pair of friends eating food at a booth in a restaurant," 2000s indie rock crossover."
A white vase with a cat face filled with flowers," upbeat dreampop melody."
A vase holds two different flowers while on the shelf," new wave dance floor banger."
A view of a clock with a faint view of a person holding a camera in a reflection," orchestral IDM remix."
A picture of trees and bushes in the park," Balkan folk music."
An old black and gold clock is on a tower above another intricate clock," corridos chorus."
A cup of soup on a metal saucer next to other plates of food," crown singing salsa."
An older building with a clock and a tower," jingle for a noir detective show."
A teddy bear and a vase of flowers sit on a white shelf," kids singing pop songs."
Shrimp and rice with a side of vegetables and an egg roll," city pop playing over old speakers."
A woman brushes her hair in front of a mirror," eighties hair metal ballad."
A clock tower stands above a brick building," sample of a clock ringing remixed into a house song."
A group of people are in a busy restaurant having wine," modal jazz quartet."
Three vases are filled with pretty pink flowers," bedroom pop playing from a low-quality cell phone speaker."
A cat vase with a bunch of different color flowers in it," demo for an old Hot 100 song."
A bike with a blender on the back of it," carnival music on moog synthesizer."
Multi-colored miniature stuffed bears that appear to float at the ceiling," psychedelic pop."
A large group of people seated at a reception," wedding hall dance standards."
An assortment of fruit and pastries are on a table cluttered with dishes," summer picnic music."
A little clock tower standing in the middle of the road," Western orchestra."
A group of people eating and drinking in a restaurant," nostalgic major key music."
Three glass vases filled with bouquets of pink orchids," instrumental cover of a love song."
A rally to free Bradley Manning in a European city," crowd chanting slogans to the tune of an 80s love song."
A bowl of soup next to bread and some rice," song that is reminiscent of childhood."
People holding a sign during a protest," pop punk crossover."
A pair of scissors and other tools sitting on a table," song composed of everyday objects."
A man standing behind a few bottles of wine," accordion-led song."
A man standing in a winery around bottles," happy song played in a minor key on the piano."
Plates of food consisting of different meats and some rice," cumbia snippet before the chorus."
An assortment of fruit is on a plate," Motown song playing from an old record."
A small vase-like figurine on a quilt," vaporwave song played from a Bluetooth speaker."
A woman is blowing bubbles at a restaurant," nostalgic love song chorus."
An old building with a clock tower in it," guitar cover of an ambient song."
A vase and floral arrangements decorate the unusual center space created by a rounded staircase," a lovely song from an unrecognizable microgenre."
A child eats in a high chair outdoors," music made using cookware."
A woman sitting at a table with two kids," toddler tunes."
A two-story house with a blue clock sitting outside of it," outdated sci-fi theme music."
A pile of metal sitting in front of a clock and see-through buildings," unintelligible noise rock."
A table topped with lots of dishes and eating utensils," dance hits echoing from another room."
The teddy bear is made up of several different materials," hip hop using soul samples."
"Some small items like a pair of scissors, knife, sitting on a sheet of paper"," kids chanting pop music."
The stuffed animals are separated by size and color," carnival-style music."
A white vase with a floral motif is pictured in front of half a dozen other small vases," muffled waltz music."
A brown stuffed teddy bear sitting next to a wooden frame," father singing nursery rhymes."
A woman holding a hairbrush up to her hair," piano cover of a love ballad."
A woman cooking food in a wok,"Energetic Asian-inspired music ."
The smiling girl winks one eye in the kitchen,"Playful and whimsical tune with a cheerful melody."
A picture of a large white kitchen,"Sleek and modern instrumental with a spacious ambiance."
A man wearing a yellow vest is watching a man ride by him on a bike,"Curious and observational music ."
The tennis player in white is playing on a clay court,"Energetic sports theme "
A hotel bathroom that is all in white,"Calm and soothing ambient music with a fancy tone."
A car parked next to a fire hydrant,"Tense and suspenseful music with a hint of urgency."
A kitchen with white cabinets and stainless steel appliances,"Modern and sleek electronic beats ."
There is a man wearing a hat and riding a bike down the street," Upbeat, carefree music."
"A bathroom with a toilet, a bathtub, and a mirror","Relaxing and serene ambient soundscape."
A woman celebrating a birthday in a convention hall,"Upbeat, festive music."
A man waving at a school bus from his driveway,"Upbeat and cheerful music with a touch of nostalgia."
A man waving at a school bus as it's leaving,"Sentimental and bittersweet melody."
The man in the black and white photo is jumping to catch a Frisbee,"Energetic and playful music."
A bike sits on the concrete casting a shadow,"Laid-back acoustic guitar serenade with a touch of nostalgia."
The walls of the small bathroom are painted yellow,"Light and cheerful tune ."
"Men sitting on a bench on a busy street, having a conversation","Urban jazz vibes ."
A close-up of a cat on a basket on a bike,"Quirky and playful music."
A woman and a girl sitting at a dinner table talking,"Warm and tender acoustic melody "
A delivery worker driving a large truck with several wooden boxes,"Energetic and industrious music ."
"Near a white kitchen, a woman wearing a pink shirt carries a jug","Light and carefree instrumental ."
A picture of a demonstration cooking area,"Upbeat and lively music ."
A child dressed in random clothing standing barefoot in the kitchen,"Playful and whimsical tune ."
A white and grey freckled horse next to a brown horse in a valley filled with trees and tall grass,"Serene instrumental."
A subway station has many people holding luggage near a train,"Urban electronic beats ."
Little girl looking down at leaves with her bicycle with training wheels parked next to her,"Innocent and playful melody ."
A group of cyclists is riding next to a train and a city bus,"Energetic and adventurous music ."
Two horses standing next to one another outside,"Gentle and pastoral music with a sense of tranquility."
The man talks on a cell phone far from three others sitting on a blanket,"Modern and ambient instrumental."
A man is skateboarding down a public sidewalk,"Upbeat and lively skateboarding-inspired tune ."
"A bathroom with a toilet, a sink, and a shower","Calm and serene ambient soundscape."
A view of a bathroom with black tile floor and a stand-up shower with a glass door,"Modern and sleek ambient music."
A cat on a toilet looking in the bowl,"Quirky and playful music."
A colorful bathroom with lots of natural sunlight,"Upbeat and cheerful tune."
A woman standing at a table with a blue scarf and looking at a white frosted cake at a booth,"Elegant and celebratory music ."
An orange cat is resting on the back of a car,"Relaxed and laid-back instrumental."
Two large horses are pulling a bus-shaped carriage,"Majestic and grand orchestral piece."
"A bathroom with a toilet, a sink, and a bathtub","Calm and serene ambient soundscape."
A man in a green jacket is standing in the snow,"Wintry and contemplative instrumental"
A pink and white bathroom is shown with flower wallpaper,"Playful and whimsical music."
A woman is dressed as Merida from Brave,"Epic and adventurous orchestral piece."
There is a pile of trash in a fireplace,"Quirky and eccentric music."
A white toilet and shower in a room,"Clean and serene calming music."
"A busy city street with bicycles, a bus, and a trolley car","Urban electronic beats."
A person is washing a knife in a sink,"Rhythmic and percussive sounds."
A woman stands near a bar and talks to a man,"Smooth elegant jazz-inspired tune."
A modern home kitchen with a refrigerator and microwave,"Contemporary and sleek instrumental ."
A dog laying on a wooden step near a house,"Relaxed and laid-back tune ."
A person on a street with a school bus in the background,"Nostalgic and upbeat melody ."
"A kitchen with a lot of cookware, plates, and wine glasses","Upbeat and lively instrumental ."
Two people are standing around a kitchen counter,"Casual and relaxed tune with a domestic atmosphere."
A white and black dog is in the arms of a person near a black counter,"Lighthearted and playful melody."
A large kitchen area features lots of white cabinets and wooden floors,"Modern and sleek instrumental ."
Two bartenders and one server standing in a beer tavern,"Upbeat and lively pub-inspired music ."
A bicycle near a tree outside,"Mellow acoustic vibes blending indie folk and lo-fi beats."
A man with wine bottles,"Smooth jazz sophistication meets Latin grooves."
A vase with leaves on a counter,"Calming ambient notes in a dreamy synth-pop palette."
Three having lunch on a boat,"Seaside serenade merging acoustic pop and tropical rhythms."
Large tower with a clock,"Epic orchestral saga."
Young woman brushes hair,"Gentle piano elegance in a modern classical arrangement."
White and pink flower in water,"Delicate instrumental serenade ."
Man with bottles,"Upbeat festive tune, a fusion of salsa and electronic dance."
Teddy bear by a tree,"Nostalgic melody with a folk-pop acoustic charm."
Three people dining,"Harmonious instrumental warmth, a blend of jazz and indie rock."
Exotic meal on leaves,"Vibrant soundscape with global influences and a hint of reggae."
Three vases by a window,"Elegant orchestral grace infused with ambient electronic textures."
People in a room with wine,"Upbeat jazz lively gathering with funky retro vibes."
Three glass vases on the floor,"Soothing instrumental grace."
Man with a clock object,"Industrial beats in a cinematic electronic arrangement."
Assortment of food on a table,"Upbeat visual feast blending funk and electro-pop elements."
Teddy bear and chick on a bed,"Tender nostalgic melody with indie folk nuances."
Restaurant full of people,"Lively jazz with Latin influences."
Three vases on a table,"Elegant floral beauty set to a modern orchestral backdrop."
Chopping board with kale,"Upbeat kitchen preparation ."
Glass of red wine and vegetables,"Smooth jazz composition."
Very tall tower on a church,"Majestic orchestral grandeur, a fusion of classical and rock."
Large tower-like structure,"Epic orchestral arrangement with progressive rock undertones."
Black vase on a table,"Quirky creative instrumental with indie pop and electronic vibes."
Plate of potatoes on a table,"Comforting melody with folk and acoustic rock elements."
People eating and chatting,"Casual jazz ."
Three glass vases,"Graceful instrumental diversity, a blend of world music and ambient."
Plates of food on a table,"Upbeat visual feast with a fusion of jazz and pop-rock."
Clock on display in a museum,"Mysterious instrumental with cinematic and electronic nuances."
Bunch of buildings and a tower,"Urban beats cityscape energy with hip hop."
Clock tower on the side of a road,"Nostalgic orchestral roadside charm with indie rock influences."
Traffic light near a clock tower,"Modern rhythmic beats juxtaposition with electronic and jazz fusion."
Glass of red wine and asparagus,"Smooth jazz composition."
Vase with flowers and rocks,"Soothing instrumental with natural elements in a folk-pop arrangement."
Various scissors,"Quirky playful melody with eclectic indie and electronic undertones."
Three small vases,"Elegant harmonious instrumental unity classical vibes."
Teddy bear on a blanket,"Tender nostalgic melody with indie folk and acoustic charm."
Man with wine bottles,"Classy jazz sophistication"
A bicycle is parked near a tree outside,"Laid-back acoustic melody."
A man standing behind an assortment of wine,"Smooth jazz tones echoing"
A vase filled with leaves on top of a counter,"Calming ambient notes ."
A blender behind lettuce and tomatoes on a cutting board,"Upbeat happy symphony ."
Three males having lunch on a boat during daylight,"Relaxing nautical melody."
A young woman brushes her dark brown hair,"Gentle piano piece ."
A white and pink flower sitting in the water of a glass,"Delicate instrumental serenade"
A man is standing with a bunch of bottles,"Upbeat and festive tune ."
People sitting at tables with bubbles and drinks,"Jazzy lounge vibes."
Glass vase on a neatly made bed,"Soothing ambient notes."
Woman sitting on a stool in front of china,"Charming acoustic serenade."
Dark vase with flutes and flowers,"Elegant orchestral arrangement."
Small teddy bear on a bed,"Whimsical and playful melody."
Knife and fork on a plate with vegetables and meat,"Modern jazz fusion."
"Table with soup, chicken, and a beverage","Lively instrumental arrangement."
Many people at a luncheon with the press,"Dynamic jazz ensemble."
Bouquet of flowers in a cat vase,"Whimsical and cheerful orchestral melody."
Woman eating a meal with young children,"Warm acoustic serenade."
"Bowls of rice, soup, and plates of meat on a table","Worldly fusion of cultural sounds."
White vase with a cat's face holding flowers,"Playful and uplifting instrumental."
Flowers around a clock on a green lawn,"Gentle acoustic melody."
People standing at a counter with wine bottles,"Smooth jazz sophistication."
Leftovers of a meal at Seoul Palace,"Contemporary Korean vibes."
"Plate with syrup, fork, and grapefruit slices","Upbeat and refreshing pop melody."
Wood and glass grandfather clock on the floor,"Classical orchestral arrangement."
"Plates of meat, rice, vegetables, and soup on a table","Dynamic instrumental fusion."
"Restaurant with people seated, talking, and eating","Lively jazz ensemble."
Clear glass vases with pink flowers on a black table,"Sensual and sophisticated instrumental."
Vehicle traffic beside a colorful clock tower,"Urban beats with a mix of electronic influences."
Cute lady sitting by a bunch of stuff,"Quirky and playful melody."
Variety of beanie babies hanging,"Playful and whimsical instrumental."
Tall clock tower overlooking another building,"Epic orchestral grandeur."
Black-and-white shot of a woman brushing her hair,"Elegant and emotional piano composition."
Red clock tower on an old British city street,"Cinematic orchestral arrangement."
Stuffed bear hugging a stuffed bird on a bedspread,"Tender and heartwarming melody."
Meats and soups in bowls and on plates,"Dynamic instrumental fusion."
Free Bradley Manning banner under a clock,"Protest anthem with rock and punk influences."
Clear mug with pretty flowers,"Lighthearted and joyful instrumental."
Brown teddy bear in bed holding an orange bird,"Sweet and tender acoustic serenade."
People holding a sign underneath a clock,"Upbeat indie pop anthem."
Woman brushing her hair near a mirror,"Gentle piano composition."
Plates of food on a table,"Dynamic and versatile instrumental arrangement."
Red paper heart with a name on it,"Romantic piano melody."
Flowers in a glass mug on the table,"Sensual and elegant instrumental."
Tower with a large clock built into the side,"Majestic orchestral arrangement."
Clock on display in a museum,"Intriguing and mysterious instrumental."
"Fish tacos, tortilla soup, and a biscuit on a platter","Energetic Latin beats with contemporary fusion."
Large clock tower in the sky,"Majestic orchestral composition."
Food on a plate on the table,"Upbeat song with pop influences."
Four-sided clock on top of a pole,"Modern electronic beats with ambient undertones."
People at a convention standing at a table,"Dynamic jazz ensemble."
Portable tray with a full-course meal,"Versatile instrumental fusion."
Upward view of Big Ben with a streetlight,"Elegant orchestral arrangement."
Vase on the table on the floor,"Sensual and sophisticated instrumental."
Small child eating cereal outside,"Playful and whimsical melody."
Clocks on each side of a large building,"Contemporary beats with electronic and hip-hop influences."
Woman sitting on a stool in front of a tea service,"Charming acoustic serenade."
Man laughing with his hand on a blender,"Quirky and upbeat indie pop anthem."
Flower on the table in a pot,"Gentle acoustic melody with folk nuances."
Woman sitting next to cups and a hot plate,"Warm instrumental with jazz undertones."
"Meat on a stick, deviled eggs, and broccoli","Energetic instrumental fusion with world music elements."
Building with a round clock in front of it,"Contemporary orchestral arrangement."
"Cookie, sliced bananas, and cups of coffee","Lighthearted pop melody."
Teddy bear in front of a picture,"Tender and heartwarming acoustic serenade."
People sitting at a table during a ceremony,"Harmonious instrumental backdrop."
Two people watching a presentation on a screen,"Upbeat electronic beats with anticipation."
Large mechanical clock in the middle of a room,"Intriguing and mysterious instrumental."
Teddy bear attached to a blanket,"Nostalgic melody with indie folk nuances."
Beer mug with water and flowers,"Joyful instrumental with a folk-pop twist."
Woman walking down an empty street,"Contemplative acoustic composition."
Various tools on a table,"Quirky and playful instrumental with indie vibes."
Closeup of metal tools and a cloth,"Industrial beats with electronic undertones."
Large street clock with passing traffic,"Urban beats with electronic vibes"
Plated cooked items served at a table,"Dynamic and versatile instrumental fusion."
Two women having their picture taken while eating,"Playful and lively melody with jazz influences."
Very old stone building with a clock,"Nostalgic orchestral charm."
Clock on top of the pole on the sidewalk,"Modern beats with electronic and hip-hop undertones."
People under a brick bridge holding a sign,"Upbeat indie pop anthem ."
Large brown clock tower,"Epic orchestral composition."
White plate with a sliced-up orange,"Upbeat pop melody."
Adult man standing in the kitchen making a mixture,"Energetic symphony with electronic elements."
Group of people at a meeting,"Dynamic and versatile instrumental."
Assortment of vases and pots on a wooden table,"Sensual and sophisticated instrumental."
Very tall red clock tower,"Epic orchestral composition."
Tray with several edible items,"Upbeat and quirky indie pop anthem."
Futuristic rendering with stairs and a utopia setting,"Modern electronic beats with ambient vibes."
Bench against a window with a teddy bear,"Tender and heartwarming acoustic serenade."
Blender on a counter with lettuce and tomatoes,"Upbeat symphony with tropical influences."
Vase with leaves and rocks,"Soothing ambient notes with world music undertones."
Stack vase filled with flowers and topped with a heart,"Romantic orchestral melody."
"A plate of food with potatoes, ham, and biscuits on it","Upbeat and savory instrumental."
A plastic drinking can with flowers in it at a desk,"Soothing ambient notes."
A table with two books or magazines on top of it,"Contemplative instrumental ."
A plate of food with meat on the top,"Energetic and flavorful instrumental."
A canister of flowers adorned with a heart,"Romantic orchestral melody ."
A tray with plates of Chinese food and bottles of drink,"Energetic instrumental fusion."
A blue stuffed animal that is a bear,"Playful and whimsical melody with a touch of nostalgia."
Three men sitting at a table eating breakfast,"Harmonious instrumental backdrop."
A couple of women watching a projection screen,"Upbeat electronic beats ."
A brown teddy bear holding a stuffed toy chicken,"Tender and heartwarming acoustic serenade."
A woman doing her hair in front of a bathroom mirror,"Sensual and reflective instrumental."
Three very ornate pieces on display,"Orchestral elegance"
A city street with a clock on the sidewalk,"Urban beats with a mix of electronic and world music influences."
A white plate topped with tacos and a cup of beans next to rice,"Lively Latin beats."
This is a photo of a very old church and castle,"Nostalgic orchestral charm."
An empty bench with several children's books on it,"Playful and whimsical instrumental."
Several sizes and shapes of brown vases on a table,"Sensual and sophisticated instrumental "
A clear vase with rocks and leaves in it,"Soothing ambient notes."
"White plate with orange slices, syrup, and consumed orange juice","Lighthearted and refreshing pop melody."
People in a courtyard looking at historic buildings,"Harmonious instrumental ."
Dinner is served in a tray on the table,"Energetic instrumental fusion ."
A big long table with a bunch of people eating,"Dynamic jazz ensemble ."
A clock tower with a very unique roof and bell on top,"Modern beats ."
A big majestic building with shadows cast on it,"Epic orchestral arrangement."
A white blender on top of a counter filled with liquid,"Upbeat symphony "
A clock is mounted to the top of a tower,"Contemplative instrumental "
A can filled with pink flowers on top of a table,"Romantic orchestral melody."
A large building with a clock at the top,"Epic orchestral arrangement."
People watching a screen in a room,"Upbeat electronic beats."
A blender next to lettuce and tomato,"Upbeat  symphony ."
"A plate of tacos, beans, and a roll","Energetic instrumental fusion."
A clock tower with a reflecting pool and palm trees,"Contemplative instrumental."
A clock mounted to a pole on a sidewalk,"Modern beats with electronic and urban influences."
"A table full of bread, meat, and fruit","Energetic instrumental fusion."
Men and women sitting at a long table of food,"Dynamic and versatile instrumental fusion."
A large clock tower with a giant clock on its side,"Epic orchestral grandeur ."
A little cup with flowers and a bird,"Tender and heartwarming acoustic serenade."
A little bench with some books on it,"Playful, relaxing, and whimsical instrumental ."
A lady standing outside of a building,"Reflective instrumental with a touch of elegance."
Two clocks on the side of this building,"Modern beats ."
Several wood vases and bowls on a table,"Sensual and sophisticated instrumental."
A group of people at a table in a room,"Harmonious instrumental backdrop ."
Two white cups and a plate with a cookie and banana pieces,"Lighthearted and refreshing pop melody."
A man holding a white umbrella next to a clock in an airport,"Upbeat and quirky indie pop anthem."
Black and white photo of children in a library,"Timeless and nostalgic melody."
Large library with people at tables,"grand orchestral arrangement."
Library with rounded walls of books,"Ambient and soothing instrumental."
Library wall with bookshelves and a mirror,"Reflective and contemplative melody."
Arched gallery of a library,"Epic and grand orchestral arrangement."
Man in a library looking at his laptop,"Serene and ambient classical composition."
Smiling man with a laptop in a public library,"Upbeat and positive classical tune."
Library with wooden tables and laptops,"classical piano sonata."
Cat on a hardwood floor in front of a large library of books,"mellow classical piano composition."
Three men standing in a library looking at a thick book,"classical piano composition."
"Few men reading an old, large book in a library","Nostalgic and reflective classical melody."
Two people sitting on a library floor with a dog,"Relaxed and ambient instrumental with gentle piano accents."
Man in the air with his skateboard near a library,"Energetic and lively beats perfect"
Table with sign-ups for library cards,"Upbeat and modern electronic beats."
Sign-up desk for library cards,"Contemporary and dynamic instrumental."
Table set up for people to sign up for a library card,"Upbeat and positive melody with modern electronic touches."
Woman in a library holding a blue snowboard,"Whimsical and playful instrumental with a touch of piano."
Three students working in a crowded library,"intense classical composition."
